u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
587913403,4902792662,0,498942795,path,,,False,False,31.988921501288253,"LINESTRING (11.8351946 47.5962471, 11.8351247 47.5962663, 11.835106 47.5962673, 11.8350763 47.5962612, 11.8350235 47.5962411, 11.8349803 47.5962331, 11.8349258 47.5962275, 11.8348424 47.5962324, 11.8347956 47.5962104)",,,0.5,,,,
612904961,612904963,0,48223579,residential,,,False,False,16.59048753700051,"LINESTRING (25.1559559 47.5962494, 25.1557423 47.5962105)",RO:urban,,,,,,
612904963,612904961,0,48223579,residential,,,False,True,16.59048753700051,"LINESTRING (25.1557423 47.5962105, 25.1559559 47.5962494)",RO:urban,,,,,,
612904978,6734368666,0,48223579,residential,,,False,False,73.67316486929043,"LINESTRING (25.1525467 47.5962053, 25.1523234 47.5962144, 25.1521809 47.5962118, 25.152023 47.5962157, 25.1515649 47.5962079)",RO:urban,,,,,,
676823296,2010677853,0,"[190442557, 351447630]","['service', 'residential']",Rue du Tilleul,,False,"[False, True]",51.292080914048555,"LINESTRING (7.5023243 47.5962361, 7.5023114 47.5962948, 7.5022422 47.5962846, 7.501725 47.596223)",,,,,,,
705241285,705241319,0,56202255,residential,Haidestraße,,False,True,9.711827566473188,"LINESTRING (11.1949081 47.5962148, 11.1950328 47.5962384)",,,,,,,
705241319,705241285,0,56202255,residential,Haidestraße,,False,False,9.711827566473188,"LINESTRING (11.1950328 47.5962384, 11.1949081 47.5962148)",,,,,,,
705241319,705312790,0,"[56206923, 56202255]","['service', 'residential']",Haidestraße,,False,True,32.10555570336969,"LINESTRING (11.1950328 47.5962384, 11.1951624 47.5962518, 11.1953203 47.5962521, 11.1953841 47.5962499, 11.1954447 47.5962198)",,,,,,,
705312790,705241319,0,"[56206923, 56202255]","['service', 'residential']",Haidestraße,,False,False,32.105555703369696,"LINESTRING (11.1954447 47.5962198, 11.1953841 47.5962499, 11.1953203 47.5962521, 11.1951624 47.5962518, 11.1950328 47.5962384)",,,,,,,
754702565,10065514567,0,60510379,path,Buckhorn Trail,,False,True,16.69226219908541,"LINESTRING (-103.3319479 47.5962173, -103.3317257 47.5962082)",,,,,,,
