u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access
53130027,11082266259,0,6506833,2,16th Avenue South,residential,20 mph,False,False,45.295,"LINESTRING (-122.311584 47.5988102, -122.3115934 47.5984029)",,,
53130027,5440514359,0,6506833,2,16th Avenue South,residential,20 mph,False,True,10.741,"LINESTRING (-122.311584 47.5988102, -122.311584 47.5989068)",,,
53130027,11082266246,0,49394452,2,South Jackson Place,residential,20 mph,False,False,7.123,"LINESTRING (-122.311584 47.5988102, -122.311489 47.5988098)",,,
53130027,11082266248,0,49394452,2,South Jackson Place,residential,20 mph,False,True,8.698,"LINESTRING (-122.311584 47.5988102, -122.3117 47.5988108)",,,
53145414,3535108187,0,347092908,2,East Yesler Way,tertiary,25 mph,False,False,19.556,"LINESTRING (-122.3149362 47.6016793, -122.3146754 47.6016767)",,,
53145414,5440514395,0,1154579274,2,East Yesler Way,tertiary,25 mph,False,True,55.46,"LINESTRING (-122.3149362 47.6016793, -122.3156759 47.6016779)",,,
53151740,11060891570,0,425646004,2,East Yesler Way,secondary,25 mph,False,True,7.296,"LINESTRING (-122.3195786 47.6016865, -122.3196759 47.6016873)",,,
53151740,12634659952,0,440890310,2,East Yesler Way,secondary,25 mph,False,False,10.795,"LINESTRING (-122.3195786 47.6016865, -122.3194347 47.6016897)",,,
53151740,11060891575,0,6402586,2,10th Avenue South,residential,20 mph,False,False,10.021999999999998,"LINESTRING (-122.3195786 47.6016865, -122.31958 47.6016696, -122.31958 47.6016531, -122.31958 47.6015964)",,,
53151757,11080212126,0,6402614,2,10th Avenue South,residential,20 mph,False,True,8.151,"LINESTRING (-122.319629 47.5983491, -122.3196293 47.5984224)",,,
53151757,11080212127,0,369922295,2,South King Street,residential,20 mph,False,False,7.108,"LINESTRING (-122.319629 47.5983491, -122.3195342 47.5983489)",,,
53151757,8015428079,0,369922295,2,South King Street,residential,20 mph,False,True,11.172,"LINESTRING (-122.319629 47.5983491, -122.319778 47.5983496)",,,
53151757,11080212128,0,547653672,2,10th Avenue South,residential,20 mph,False,False,9.229,"LINESTRING (-122.319629 47.5983491, -122.319629 47.5982661)",,,
53151759,4162100926,0,263712956,2,10th Avenue South,residential,20 mph,False,True,31.237,"LINESTRING (-122.3196357 47.5975058, -122.3196304 47.5977867)",,,
53151759,8018029188,0,1284805252,2,South Weller Street,residential,20 mph,False,False,6.134,"LINESTRING (-122.3196357 47.5975058, -122.3195539 47.5975056)",,,
53151759,7083435730,0,263712955,2,10th Avenue South,residential,20 mph,False,False,177.69899999999998,"LINESTRING (-122.3196357 47.5975058, -122.3196362 47.5972215, -122.3196256 47.597058, -122.3195992 47.5969335, -122.3194687 47.596701, -122.3193936 47.5965673, -122.3192967 47.5963692, -122.3192809 47.59632, -122.3192744 47.5962525, -122.3192731 47.5959761, -122.319273 47.5959463)",,,
53154566,11061352597,0,256996971,2,East Yesler Way,tertiary,25 mph,False,False,8.195,"LINESTRING (-122.3141363 47.6016955, -122.314027 47.6016951)",,,
53154566,11061352596,0,347092910,2,East Yesler Way,tertiary,25 mph,False,True,9.004,"LINESTRING (-122.3141363 47.6016955, -122.314255 47.6016832)",,,
53154566,11061352584,0,6405076,1,14th Avenue South,tertiary,25 mph,False,True,10.872,"LINESTRING (-122.3141363 47.6016955, -122.314116 47.6016519, -122.314096 47.6016016)",,,
53165711,11061352563,0,32121988,2,East Yesler Way,tertiary,25 mph,False,False,9.754,"LINESTRING (-122.3167831 47.6016792, -122.316653 47.601679)",,,
53165711,11061352560,0,1059789991,2,East Yesler Way,secondary,25 mph,False,True,11.998,"LINESTRING (-122.3167831 47.6016792, -122.316943 47.6016835)",,,
53165711,11061352566,0,1125611311,4,12th Avenue South,secondary,25 mph,False,False,6.7219999999999995,"LINESTRING (-122.3167831 47.6016792, -122.316783 47.601666, -122.3167862 47.6016188)",,,
53165712,11064270282,0,332223486,4,Boren Avenue South,secondary,25 mph,False,False,14.035,"LINESTRING (-122.3169713 47.6008716, -122.3170778 47.6009754)",,,
53165712,11064270281,0,332223487,4,Boren Avenue South,secondary,25 mph,False,False,16.049,"LINESTRING (-122.3169713 47.6008716, -122.3168491 47.6007531)",,,
53165712,11064270283,0,428233432,5,12th Avenue South,secondary,25 mph,False,True,12.579,"LINESTRING (-122.3169713 47.6008716, -122.3169347 47.600982)",,,
53165712,11064270279,0,739874554,3,12th Avenue South,secondary,25 mph,False,True,17.155,"LINESTRING (-122.3169713 47.6008716, -122.3169983 47.6007184)",,,
53165712,11064270280,0,1068095613,2,12th Avenue South,secondary,25 mph,False,False,11.733,"LINESTRING (-122.3169713 47.6008716, -122.3170662 47.6007877)",,,
53165716,11080212139,0,263712791,2,South King Street,residential,20 mph,False,False,8.233,"LINESTRING (-122.317236 47.5983419, -122.3171262 47.5983414)",,,
53165716,11080212138,0,369922295,2,South King Street,residential,20 mph,False,True,11.285,"LINESTRING (-122.317236 47.5983419, -122.3173865 47.5983423)",,,
53165716,11080212140,0,500021854,5,12th Avenue South,secondary,25 mph,False,False,7.194,"LINESTRING (-122.317236 47.5983419, -122.3172358 47.5982772)",,,
53165716,8018004518,0,969976886,5,12th Avenue South,secondary,25 mph,False,True,9.908,"LINESTRING (-122.317236 47.5983419, -122.317235 47.598431)",,,
53165720,11083342523,0,13721473,2,12th Avenue South,secondary,25 mph,False,False,8.963,"LINESTRING (-122.3172352 47.5974997, -122.317236 47.5974191)",,,
53165720,8018004527,0,500021854,5,12th Avenue South,secondary,25 mph,False,True,9.952,"LINESTRING (-122.3172352 47.5974997, -122.317235 47.5975892)",,,
53165720,11083342521,0,1364999756,2,South Weller Street,residential,20 mph,False,False,8.998,"LINESTRING (-122.3172352 47.5974997, -122.3171152 47.5974998)",,,
53165720,11083342522,0,1364999759,2,South Weller Street,residential,20 mph,False,True,10.408,"LINESTRING (-122.3172352 47.5974997, -122.317374 47.5975001)",,,
53166920,11080212160,0,1414487549,2,South King Street,residential,20 mph,False,False,7.596,"LINESTRING (-122.3133526 47.5983307, -122.3132513 47.5983311)",,,
53166920,9048273673,0,"[661350011, 859551223, 428247255]","['3', '2']",Rainier Avenue South,secondary,25 mph,False,False,56.189,"LINESTRING (-122.3133526 47.5983307, -122.3134025 47.5984002, -122.3134517 47.5984673, -122.3135077 47.5985413, -122.3136937 47.5987806)",,,
53166920,7404294434,0,749863324,2,Rainier Avenue South,secondary,25 mph,False,True,12.389,"LINESTRING (-122.3133526 47.5983307, -122.3133113 47.5982654, -122.3132882 47.5982281)",,,
53166922,11082266259,0,6506833,2,16th Avenue South,residential,20 mph,False,True,3.081,"LINESTRING (-122.3115944 47.5983752, -122.3115934 47.5984029)",,,
53166922,9188436136,0,995035803,1,,residential,20 mph,False,False,7.919,"LINESTRING (-122.3115944 47.5983752, -122.3115999 47.598376, -122.3116221 47.5983737, -122.3116418 47.5983665, -122.3116557 47.5983564, -122.3116642 47.5983438, -122.3116657 47.5983343)",roundabout,,
53166922,9188436134,0,995035803,1,,residential,20 mph,False,True,6.5520000000000005,"LINESTRING (-122.3115944 47.5983752, -122.311578 47.598373, -122.3115588 47.5983652, -122.3115447 47.5983535, -122.3115373 47.5983393, -122.3115373 47.5983369)",roundabout,,
53168078,11076158841,0,6458014,2,15th Avenue South,residential,20 mph,False,True,7.828,"LINESTRING (-122.3128873 47.6008525, -122.3128868 47.6009229)",,,
53168078,11076158839,0,22917663,2,South Washington Street,residential,20 mph,False,False,7.003,"LINESTRING (-122.3128873 47.6008525, -122.3127939 47.6008527)",,,
53168078,11076158840,0,22917663,2,South Washington Street,residential,20 mph,False,True,7.61,"LINESTRING (-122.3128873 47.6008525, -122.3129888 47.6008529)",,,
53168080,11076158850,0,6506833,2,16th Avenue South,residential,20 mph,False,False,7.628,"LINESTRING (-122.3115822 47.6008536, -122.3115819 47.600785)",,,
53168080,11076158851,0,6506833,2,16th Avenue South,residential,20 mph,False,True,5.493,"LINESTRING (-122.3115822 47.6008536, -122.3115821 47.600903)",,,
53168080,11076158852,0,22917663,2,South Washington Street,residential,20 mph,False,False,6.636,"LINESTRING (-122.3115822 47.6008536, -122.3114937 47.6008536)",,,
53168080,11076158853,0,22917663,2,South Washington Street,residential,20 mph,False,True,6.981,"LINESTRING (-122.3115822 47.6008536, -122.3116753 47.6008532)",,,
53209840,11060891620,0,6476922,2,East Yesler Way,secondary,25 mph,False,False,13.676,"LINESTRING (-122.31784 47.601699, -122.3176576 47.601699)",,,
53209840,11060891624,0,425646003,2,East Yesler Way,secondary,25 mph,False,True,15.004,"LINESTRING (-122.31784 47.601699, -122.3180401 47.6017007)",,,
53209840,3535108199,0,1059789994,5,Boren Avenue,secondary,25 mph,False,False,2.211,"LINESTRING (-122.31784 47.601699, -122.317856 47.6017157)",,,
53209840,11060891618,0,6465162,5,Boren Avenue South,secondary,25 mph,False,False,12.645,"LINESTRING (-122.31784 47.601699, -122.317821 47.6016814, -122.3177415 47.6016067)",,,
53225174,4162100944,0,693449116,2,South Weller Street,residential,20 mph,False,True,8.203,"LINESTRING (-122.321682 47.5975093, -122.3217914 47.5975092)",,,
53225175,11083342529,0,263712957,2,South Weller Street,residential,20 mph,False,True,14.614,"LINESTRING (-122.312743 47.5975038, -122.3129379 47.5975036)",,,
53225175,8034343026,0,1097573301,5,Rainier Avenue South,secondary,25 mph,False,False,11.358,"LINESTRING (-122.312743 47.5975038, -122.31267 47.5974143)",,,
53225175,11083342530,0,1097573302,2,South Weller Street,residential,20 mph,False,False,9.08,"LINESTRING (-122.312743 47.5975038, -122.3126219 47.5975036)",,,
53225175,8536316034,0,792010743,5,Rainier Avenue South,secondary,25 mph,False,True,43.903999999999996,"LINESTRING (-122.312743 47.5975038, -122.3128121 47.5975882, -122.3130373 47.5978451)",,,
126751420,4978169355,0,6371689,2,South Lane Street,residential,20 mph,False,True,3.329,"LINESTRING (-122.3158352 47.5966408, -122.3157908 47.5966408)",,,
126751420,11085006017,0,66820435,2,13th Avenue South,residential,20 mph,False,False,9.47,"LINESTRING (-122.3158352 47.5966408, -122.3158745 47.5966221, -122.3159016 47.5965941, -122.3159056 47.596575)",,,
126751420,4978169358,0,508518745,,,service,,False,False,36.505,"LINESTRING (-122.3158352 47.5966408, -122.3159169 47.5967575, -122.3159343 47.5969564)",,driveway,
281488204,12827370427,0,6402586,2,10th Avenue South,residential,20 mph,False,False,8.178,"LINESTRING (-122.319407 47.6008942, -122.3193821 47.6008226)",,,
281488204,11064270235,0,6402586,2,10th Avenue South,residential,20 mph,False,True,10.18,"LINESTRING (-122.319407 47.6008942, -122.3194369 47.6009835)",,,
281488204,11064270236,0,859196941,2,South Washington Street,residential,20 mph,False,True,7.482,"LINESTRING (-122.319407 47.6008942, -122.3195053 47.6008826)",,,
281488204,12827370437,0,6415152,2,South Washington Street,residential,20 mph,False,False,11.121,"LINESTRING (-122.319407 47.6008942, -122.3193317 47.6008931, -122.3192601 47.6009027)",,,permit
281493433,11061352563,0,32121988,2,East Yesler Way,tertiary,25 mph,False,True,20.544,"LINESTRING (-122.316379 47.6016787, -122.316653 47.601679)",,,
281493433,3535108176,0,25807174,2,,service,,False,False,7.076,"LINESTRING (-122.316379 47.6016787, -122.316378 47.6016653, -122.3163762 47.6016151)",,,
281493433,5440514405,0,347092909,2,East Yesler Way,tertiary,25 mph,False,False,21.144,"LINESTRING (-122.316379 47.6016787, -122.3162539 47.6016786, -122.316097 47.6016784)",,,
281493437,3535108173,0,347092924,2,,service,,False,True,3.747,"LINESTRING (-122.3146764 47.6015314, -122.3146762 47.6015651)",,,
281493437,3535108176,0,25807174,2,,service,,False,True,133.42999999999998,"LINESTRING (-122.3146764 47.6015314, -122.3148816 47.6015315, -122.3153385 47.6015317, -122.3157445 47.6015319, -122.3162286 47.6015323, -122.3162873 47.6015321, -122.3163173 47.6015388, -122.316342 47.6015503, -122.3163598 47.6015617, -122.3163762 47.6015876, -122.3163762 47.6016151)",,,
281493437,11061352577,0,347092916,2,,service,,False,False,33.492,"LINESTRING (-122.3146764 47.6015314, -122.3146779 47.6013038, -122.3146776 47.6012302)",,,
281495065,3535108129,0,347092917,,,footway,,False,True,9.819,"LINESTRING (-122.3148375 47.6007085, -122.3147394 47.600767)",,,
281495065,281495221,0,347092917,,,footway,,False,False,26.101,"LINESTRING (-122.3148375 47.6007085, -122.315018 47.6006782, -122.3151801 47.6006789)",,,
281495065,3535108103,0,347092923,,,footway,,False,False,204.469,"LINESTRING (-122.3148375 47.6007085, -122.3147954 47.6006879, -122.3147311 47.6006689, -122.3146633 47.6006572, -122.3146251 47.6006522, -122.3144501 47.6006472, -122.3144347 47.6006409, -122.3144239 47.6006305, -122.3144199 47.6004288, -122.3144152 47.6003886, -122.3144092 47.6003397, -122.3144052 47.6003185, -122.3144179 47.6002873, -122.3144327 47.6002624, -122.3144508 47.6002389, -122.314485 47.6002118, -122.3145279 47.6001928, -122.3145822 47.6001824, -122.3146446 47.6001806, -122.3147498 47.6001833, -122.3148383 47.6001887, -122.314898 47.6001955, -122.314951 47.600205, -122.3150033 47.6002095, -122.3150455 47.600205, -122.3151046 47.6001928, -122.3151763 47.6001819, -122.3152541 47.6001788, -122.3153372 47.6001752, -122.3154304 47.6001734, -122.3154874 47.6001747, -122.3155371 47.600181, -122.315584 47.6001901, -122.3155994 47.6002104, -122.3156104 47.6002671, -122.3156199 47.6003284, -122.3156241 47.6004056, -122.3156275 47.6005369)",,,
