osmid,y,x,street_count,highway,ref,geometry,elevation
8795737061,47.6149371,-122.346961,3,,,POINT (-122.346961 47.6149371),40
8795737062,47.6149418,-122.3469427,3,,,POINT (-122.3469427 47.6149418),40
8795737065,47.6156179,-122.3461002,3,,,POINT (-122.3461002 47.6156179),39
8795737066,47.6156174,-122.3460769,3,,,POINT (-122.3460769 47.6156174),39
8795737068,47.6161259,-122.3454135,3,,,POINT (-122.3454135 47.6161259),40
8795737069,47.6165672,-122.3461696,3,,,POINT (-122.3461696 47.6165672),41
8795737070,47.616574,-122.346223,3,,,POINT (-122.346223 47.616574),41
8795737071,47.6160825,-122.3468497,3,,,POINT (-122.3468497 47.6160825),45
8795737072,47.61604,-122.3468175,3,,,POINT (-122.3468175 47.61604),45
8795737075,47.6160077,-122.3472382,3,,,POINT (-122.3472382 47.6160077),45
8795737078,47.6164464,-122.3479977,4,,,POINT (-122.3479977 47.6164464),53
8795737079,47.6159541,-122.3486365,3,,,POINT (-122.3486365 47.6159541),46
8795737080,47.6159553,-122.3486694,3,,,POINT (-122.3486694 47.6159553),46
8795737081,47.6155037,-122.3478803,3,,,POINT (-122.3478803 47.6155037),48
8795737085,47.6152398,-122.3479142,3,,,POINT (-122.3479142 47.6152398),48
8795737086,47.6152448,-122.3478991,3,,,POINT (-122.3478991 47.6152448),48
8795737088,47.6147833,-122.3471335,4,,,POINT (-122.3471335 47.6147833),40
8795737089,47.614281,-122.3478023,3,,,POINT (-122.3478023 47.614281),33
8795737090,47.6142717,-122.3478314,3,,,POINT (-122.3478314 47.6142717),33
8795737091,47.6147281,-122.3485835,3,,,POINT (-122.3485835 47.6147281),30
8795737106,47.6135964,-122.3486853,3,,,POINT (-122.3486853 47.6135964),24
8795737107,47.6141172,-122.3480141,3,,,POINT (-122.3480141 47.6141172),27
8795737108,47.6141338,-122.3480089,3,,,POINT (-122.3480089 47.6141338),27
8795737109,47.6145655,-122.3487286,3,,,POINT (-122.3487286 47.6145655),30
8795737110,47.6145685,-122.3487702,3,,,POINT (-122.3487702 47.6145685),30
8795737112,47.614032,-122.3494242,3,,,POINT (-122.3494242 47.614032),17
8795737113,47.6135946,-122.3486934,3,,,POINT (-122.3486934 47.6135946),24
8795760233,47.6148187,-122.3487572,3,,,POINT (-122.3487572 47.6148187),30
8795760235,47.6153272,-122.348081,3,,,POINT (-122.348081 47.6153272),48
