osmid,y,x,street_count,highway,ref,geometry
3393331436,47.6074506,-122.3218815,3,,,POINT (-122.3218815 47.6074506)
3394722029,47.6193403,-122.3295994,3,,,POINT (-122.3295994 47.6193403)
3394722031,47.6194185,-122.3294919,3,,,POINT (-122.3294919 47.6194185)
3394722035,47.6195366,-122.329462,4,,,POINT (-122.329462 47.6195366)
3395995744,47.6113874,-122.3489775,3,,,POINT (-122.3489775 47.6113874)
3396096263,47.6025284,-122.3391606,1,,,POINT (-122.3391606 47.6025284)
3396096276,47.6050593,-122.3401692,3,,,POINT (-122.3401692 47.6050593)
3396096277,47.6050813,-122.3405053,3,,,POINT (-122.3405053 47.6050813)
3396096282,47.6065458,-122.338707,3,,,POINT (-122.338707 47.6065458)
3396096283,47.6066603,-122.3388114,3,,,POINT (-122.3388114 47.6066603)
3396123174,47.6200801,-122.3515194,1,,,POINT (-122.3515194 47.6200801)
3396123175,47.6200904,-122.3508678,3,,,POINT (-122.3508678 47.6200904)
3397390347,47.6018749,-122.3311847,1,,C,POINT (-122.3311847 47.6018749)
3397390349,47.6030664,-122.3314724,1,elevator,A,POINT (-122.3314724 47.6030664)
3397409977,47.6071163,-122.3356127,1,elevator,,POINT (-122.3356127 47.6071163)
3397455479,47.611898,-122.33652,1,elevator,A1,POINT (-122.33652 47.611898)
3397483474,47.6163905,-122.32069,3,,,POINT (-122.32069 47.6163905)
3400684680,47.611524,-122.330179,3,,,POINT (-122.330179 47.611524)
3400692323,47.6026935,-122.3274604,1,,,POINT (-122.3274604 47.6026935)
3400692324,47.6032152,-122.3280137,3,,,POINT (-122.3280137 47.6032152)
3400818396,47.6062982,-122.3300866,3,,,POINT (-122.3300866 47.6062982)
3402783202,47.6053701,-122.3393189,4,crossing,,POINT (-122.3393189 47.6053701)
3403270418,47.6039713,-122.3291857,1,,,POINT (-122.3291857 47.6039713)
3404819534,47.5991375,-122.3270355,3,,,POINT (-122.3270355 47.5991375)
3404863989,47.6036156,-122.3246201,1,,,POINT (-122.3246201 47.6036156)
3404863991,47.6040387,-122.3236784,1,,,POINT (-122.3236784 47.6040387)
3404864096,47.6046355,-122.3241184,1,,,POINT (-122.3241184 47.6046355)
3413828587,47.5992929,-122.329433,3,,,POINT (-122.329433 47.5992929)
3427679063,47.6090263,-122.3411293,3,,,POINT (-122.3411293 47.6090263)
3427732768,47.6201039,-122.3365243,1,,,POINT (-122.3365243 47.6201039)
3427732770,47.6203615,-122.354788,1,,,POINT (-122.354788 47.6203615)
3447400917,47.6127919,-122.3176688,1,,,POINT (-122.3176688 47.6127919)
3447400929,47.6129396,-122.3176731,3,,,POINT (-122.3176731 47.6129396)
3451359139,47.6067222,-122.3261162,3,,,POINT (-122.3261162 47.6067222)
3451359150,47.6067898,-122.3258712,3,,,POINT (-122.3258712 47.6067898)
3451359708,47.6073312,-122.3263661,3,,,POINT (-122.3263661 47.6073312)
3451359715,47.6074385,-122.3264648,3,,,POINT (-122.3264648 47.6074385)
3462498265,47.6019559,-122.3291364,3,,,POINT (-122.3291364 47.6019559)
3462498269,47.6024807,-122.3303675,1,,,POINT (-122.3303675 47.6024807)
3470407533,47.6161039,-122.3282727,3,,,POINT (-122.3282727 47.6161039)
3470407534,47.6160168,-122.3284404,1,,,POINT (-122.3284404 47.6160168)
3475862612,47.6013478,-122.327392,1,,,POINT (-122.327392 47.6013478)
3475862613,47.6013488,-122.3276606,3,,,POINT (-122.3276606 47.6013488)
3487718745,47.6179038,-122.3512268,3,,,POINT (-122.3512268 47.6179038)
3487718746,47.6178366,-122.3513141,3,,,POINT (-122.3513141 47.6178366)
3487718750,47.6177532,-122.3511696,3,,,POINT (-122.3511696 47.6177532)
3491614683,47.6220553,-122.3418817,3,,,POINT (-122.3418817 47.6220553)
3491614685,47.6217287,-122.3423708,3,,,POINT (-122.3423708 47.6217287)
3492334550,47.617052,-122.3388108,3,,,POINT (-122.3388108 47.617052)
3492334551,47.6173601,-122.3382617,3,,,POINT (-122.3382617 47.6173601)
3505305022,47.6133956,-122.336677,3,,,POINT (-122.336677 47.6133956)
3505305023,47.6137247,-122.3362455,3,,,POINT (-122.3362455 47.6137247)
3513243301,47.6147951,-122.325523,3,,,POINT (-122.325523 47.6147951)
3513243302,47.6147957,-122.3261866,3,,,POINT (-122.3261866 47.6147957)
3535108199,47.6017157,-122.317856,3,,,POINT (-122.317856 47.6017157)
3559889792,47.6085857,-122.3407677,3,,,POINT (-122.3407677 47.6085857)
3559889793,47.6085848,-122.3404713,3,,,POINT (-122.3404713 47.6085848)
3559889795,47.6086315,-122.3406482,4,,,POINT (-122.3406482 47.6086315)
3559889796,47.6091486,-122.3416786,3,,,POINT (-122.3416786 47.6091486)
3586729071,47.6141235,-122.3359251,3,,,POINT (-122.3359251 47.6141235)
3586729072,47.6139907,-122.3360794,3,,,POINT (-122.3360794 47.6139907)
3586729073,47.6140345,-122.3361514,1,,,POINT (-122.3361514 47.6140345)
3586729076,47.6140377,-122.3364866,3,,,POINT (-122.3364866 47.6140377)
3611132493,47.604065,-122.3260596,1,,,POINT (-122.3260596 47.604065)
3611132497,47.6035471,-122.3250472,3,,,POINT (-122.3250472 47.6035471)
3611176571,47.6085761,-122.3259786,3,,,POINT (-122.3259786 47.6085761)
3611176572,47.6088146,-122.3253935,1,,,POINT (-122.3253935 47.6088146)
3611176573,47.6086453,-122.3258098,3,,,POINT (-122.3258098 47.6086453)
3611176577,47.6088776,-122.3254764,1,,,POINT (-122.3254764 47.6088776)
3613650999,47.6159371,-122.3556154,4,,,POINT (-122.3556154 47.6159371)
3613651011,47.6174434,-122.3564165,1,,,POINT (-122.3564165 47.6174434)
3613651013,47.6175256,-122.3562838,1,,,POINT (-122.3562838 47.6175256)
3615942008,47.618476,-122.3583147,4,crossing,,POINT (-122.3583147 47.618476)
3615942009,47.6185356,-122.3574284,3,,,POINT (-122.3574284 47.6185356)
3615942010,47.6184562,-122.3572942,3,,,POINT (-122.3572942 47.6184562)
3616084896,47.6156134,-122.3547315,3,,,POINT (-122.3547315 47.6156134)
3616084899,47.6155682,-122.3549193,3,,,POINT (-122.3549193 47.6155682)
3616084901,47.6155038,-122.3549366,4,,,POINT (-122.3549366 47.6155038)
3616084921,47.6160315,-122.355666,3,,,POINT (-122.355666 47.6160315)
3616084922,47.616957,-122.3561565,3,,,POINT (-122.3561565 47.616957)
3616084925,47.6171192,-122.3560251,3,,,POINT (-122.3560251 47.6171192)
3616084935,47.6169018,-122.3554167,3,,,POINT (-122.3554167 47.6169018)
3616084938,47.6167974,-122.3555663,3,,,POINT (-122.3555663 47.6167974)
3616084940,47.6169116,-122.3553913,3,,,POINT (-122.3553913 47.6169116)
3616084941,47.6171999,-122.3559653,1,,,POINT (-122.3559653 47.6171999)
3616084944,47.6160488,-122.3538603,3,,,POINT (-122.3538603 47.6160488)
3616084945,47.6167592,-122.3554209,3,,,POINT (-122.3554209 47.6167592)
3616084946,47.6159289,-122.3545292,3,,,POINT (-122.3545292 47.6159289)
3616084947,47.6159162,-122.354044,3,,,POINT (-122.354044 47.6159162)
