y,x,street_count,highway,ref,geometry
47.6152604,-122.3200336,3,,,POINT (-122.3200336 47.6152604)
47.6175854,-122.3200711,3,,,POINT (-122.3200711 47.6175854)
47.6231564,-122.3188535,3,,,POINT (-122.3188535 47.6231564)
47.6170891,-122.3278779,3,,,POINT (-122.3278779 47.6170891)
47.5966797,-122.327691,4,crossing,,POINT (-122.327691 47.5966797)
47.596678,-122.3263844,3,stop,,POINT (-122.3263844 47.596678)
47.59667,-122.3237501,4,stop,,POINT (-122.3237501 47.59667)
47.5966661,-122.3224561,4,stop,,POINT (-122.3224561 47.5966661)
47.5966628,-122.321664,1,,,POINT (-122.321664 47.5966628)
47.6053102,-122.3230066,4,,,POINT (-122.3230066 47.6053102)
47.6057823,-122.3218795,4,traffic_signals,,POINT (-122.3218795 47.6057823)
47.6025328,-122.329656,3,traffic_signals,,POINT (-122.329656 47.6025328)
47.6029916,-122.3285633,4,traffic_signals,,POINT (-122.3285633 47.6029916)
47.6034391,-122.3274205,3,,,POINT (-122.3274205 47.6034391)
47.6028268,-122.3360402,4,,,POINT (-122.3360402 47.6028268)
47.6035361,-122.3367059,4,traffic_signals,,POINT (-122.3367059 47.6035361)
47.6042382,-122.337344,4,traffic_signals,,POINT (-122.337344 47.6042382)
47.6049427,-122.3379977,4,traffic_signals,,POINT (-122.3379977 47.6049427)
47.6056626,-122.3386452,4,,,POINT (-122.3386452 47.6056626)
47.6063685,-122.339311,3,stop,,POINT (-122.339311 47.6063685)
47.6073776,-122.3402101,3,,,POINT (-122.3402101 47.6073776)
47.6103443,-122.3436686,3,,,POINT (-122.3436686 47.6103443)
47.6111979,-122.344785,5,traffic_signals,,POINT (-122.344785 47.6111979)
47.6134935,-122.3486836,4,traffic_signals,,POINT (-122.3486836 47.6134935)
47.6140385,-122.3496002,4,traffic_signals,,POINT (-122.3496002 47.6140385)
47.6151358,-122.351453,4,traffic_signals,,POINT (-122.351453 47.6151358)
47.6157078,-122.3524178,4,,,POINT (-122.3524178 47.6157078)
47.6162628,-122.3533566,4,traffic_signals,,POINT (-122.3533566 47.6162628)
47.6170488,-122.3546804,3,,,POINT (-122.3546804 47.6170488)
47.6178123,-122.3559748,4,,,POINT (-122.3559748 47.6178123)
47.6185076,-122.3240097,3,,,POINT (-122.3240097 47.6185076)
47.6196751,-122.3240099,4,,,POINT (-122.3240099 47.6196751)
47.6231126,-122.324043,3,,,POINT (-122.324043 47.6231126)
47.6090382,-122.330626,4,traffic_signals,,POINT (-122.330626 47.6090382)
47.6130348,-122.329987,4,traffic_signals,,POINT (-122.329987 47.6130348)
47.6208207,-122.3291478,3,,,POINT (-122.3291478 47.6208207)
47.6219768,-122.3291478,3,,,POINT (-122.3291478 47.6219768)
47.6231311,-122.3291478,3,,,POINT (-122.3291478 47.6231311)
47.6200877,-122.3501786,4,,,POINT (-122.3501786 47.6200877)
47.6209301,-122.350172,3,,,POINT (-122.350172 47.6209301)
47.6234173,-122.3488608,3,,,POINT (-122.3488608 47.6234173)
47.6185838,-122.3489317,4,traffic_signals,,POINT (-122.3489317 47.6185838)
47.6197591,-122.3487688,4,traffic_signals,,POINT (-122.3487688 47.6197591)
47.6008837,-122.3290106,5,traffic_signals,,POINT (-122.3290106 47.6008837)
47.6000384,-122.3290147,5,traffic_signals,,POINT (-122.3290147 47.6000384)
47.5964835,-122.32904,4,traffic_signals,,POINT (-122.32904 47.5964835)
47.6000545,-122.3342459,4,traffic_signals,,POINT (-122.3342459 47.6000545)
47.6000494,-122.3328797,4,,,POINT (-122.3328797 47.6000494)
47.6000462,-122.3315998,4,stop,,POINT (-122.3315998 47.6000462)
