u,v,key,osmid,highway,oneway,reversed,length,lanes,maxspeed,name,access,service,geometry,bridge,tunnel,ref
288361122,11299116265,0,157413498,footway,False,True,5.533761565047048,,,South Weller Street,,,"LINESTRING (-122.3303154 47.5975555, -122.3303892 47.5975557)",,,
288361122,3667501230,0,1155300454,footway,False,False,6.627434838786691,,,,,,"LINESTRING (-122.3303154 47.5975555, -122.3303147 47.5976151)",,,
288361122,9631578875,0,1155300454,footway,False,True,4.3144278911060265,,,,,,"LINESTRING (-122.3303154 47.5975555, -122.3303157 47.5975167)",,,
289186471,11299116267,0,157413508,footway,False,True,5.5188872369063695,,,South Weller Street,,,"LINESTRING (-122.3303147 47.5976725, -122.3303883 47.5976729)",,,
289186471,3667501230,0,1155300454,footway,False,True,6.382597806531987,,,,,,"LINESTRING (-122.3303147 47.5976725, -122.3303147 47.5976151)",,,
289186471,10758101280,0,"[1219434249, 1155300454]",footway,False,False,64.94522503153748,,,,,,"LINESTRING (-122.3303147 47.5976725, -122.330315 47.5976906, -122.3303195 47.5979439, -122.3303423 47.5980472, -122.3303298 47.5980546, -122.330286 47.5980803, -122.3302807 47.5982381)",,,
289188662,11848590100,0,26320392,footway,False,False,12.754760155506869,,,,,,"LINESTRING (-122.3324116 47.5967426, -122.3322415 47.5967424)",,,
289188662,289188677,0,26320392,footway,False,True,13.42213778716187,,,,,,"LINESTRING (-122.3324116 47.5967426, -122.3325906 47.5967429)",,,
289188662,289188688,0,1157540883,footway,False,True,15.978909470122517,,,,,,"LINESTRING (-122.3324116 47.5967426, -122.3324106 47.5965989)",,,
289188677,289188662,0,26320392,footway,False,False,13.42213778716187,,,,,,"LINESTRING (-122.3325906 47.5967429, -122.3324116 47.5967426)",,,
289188677,288361119,0,26320392,footway,False,True,20.493310754890697,,,,,,"LINESTRING (-122.3325906 47.5967429, -122.3328639 47.5967438)",,,
289188677,289188687,0,26397544,footway,False,True,16.056586944899202,,,,,,"LINESTRING (-122.3325906 47.5967429, -122.3325906 47.5966585, -122.3325904 47.5965985)",,,
289188680,9631581229,0,26320392,footway,False,False,71.32464158743595,,,,,,"LINESTRING (-122.3315199 47.5967422, -122.3305687 47.5967413)",,,
289188680,288361105,0,26320392,footway,False,True,11.435026326809576,,,,,,"LINESTRING (-122.3315199 47.5967422, -122.3316724 47.5967422)",,,
289188680,11448696300,0,"[1233743288, 26397483]",footway,False,False,24.03301916145013,,,,customers,,"LINESTRING (-122.3315199 47.5967422, -122.331563 47.5966951, -122.3315739 47.5966812, -122.3315757 47.5966617, -122.3315957 47.5965369)",,,
289188680,10764829782,0,"[26397483, 383959446]",footway,False,True,8.414987349285619,,,,,,"LINESTRING (-122.3315199 47.5967422, -122.3315061 47.5967564, -122.331506 47.5968151)",,,
289188686,288361119,0,836091421,footway,False,True,17.340221877093747,,,,,,"LINESTRING (-122.3329611 47.5966023, -122.3328639 47.5967438)",,,
289188686,289188687,0,1157540883,footway,False,False,27.799773658234,,,,,,"LINESTRING (-122.3329611 47.5966023, -122.3325904 47.5965985)",,,
289188687,289188688,0,1157540883,footway,False,False,13.482193840539615,,,,,,"LINESTRING (-122.3325904 47.5965985, -122.3324106 47.5965989)",,,
289188687,289188686,0,1157540883,footway,False,True,27.799773658234,,,,,,"LINESTRING (-122.3325904 47.5965985, -122.3329611 47.5966023)",,,
289188687,289188677,0,26397544,footway,False,False,16.056586944899202,,,,,,"LINESTRING (-122.3325904 47.5965985, -122.3325906 47.5966585, -122.3325906 47.5967429)",,,
289188688,298262314,0,27182562,footway,False,False,7.076857313253779,,,,,,"LINESTRING (-122.3324106 47.5965989, -122.3323299 47.5965659)",,,
289188688,289188662,0,1157540883,footway,False,False,15.978909470122517,,,,,,"LINESTRING (-122.3324106 47.5965989, -122.3324116 47.5967426)",,,
289188688,289188687,0,1157540883,footway,False,True,13.482193840539615,,,,,,"LINESTRING (-122.3324106 47.5965989, -122.3325904 47.5965985)",,,
298262314,289188688,0,27182562,footway,False,True,7.076857313253779,,,,,,"LINESTRING (-122.3323299 47.5965659, -122.3324106 47.5965989)",,,
298262314,11848590100,0,1276260283,footway,False,True,20.7150972460069,,,,,,"LINESTRING (-122.3323299 47.5965659, -122.3322415 47.5967424)",,,
298262314,11448696300,0,"[27182562, 1233743287]",footway,False,False,55.92919067433645,,,,customers,,"LINESTRING (-122.3323299 47.5965659, -122.3322605 47.596539, -122.3322421 47.5965348, -122.332211 47.5965348, -122.3315957 47.5965369)",,,
298262459,298262463,0,27182734,footway,False,False,43.37630546435075,,,,,,"LINESTRING (-122.3304208 47.5966561, -122.3304249 47.5965757, -122.3304437 47.596513, -122.3305351 47.5963544, -122.3305862 47.5962872)",,,
298262459,9631581229,0,27182734,footway,False,True,16.98351568869909,,,,,,"LINESTRING (-122.3304208 47.5966561, -122.3304246 47.5966871, -122.3304433 47.5967116, -122.3304736 47.5967307, -122.3305143 47.5967413, -122.3305687 47.5967413)",,,
298262459,10764829759,0,"[1157540888, 1157540889, 1157540887]",footway,False,False,11.142587462112768,,,,,,"LINESTRING (-122.3304208 47.5966561, -122.3303879 47.5966556, -122.330336 47.596657, -122.3302988 47.596658, -122.3302723 47.5966587)",,,
298262463,298262459,0,27182734,footway,False,True,43.37630546435075,,,,,,"LINESTRING (-122.3305862 47.5962872, -122.3305351 47.5963544, -122.3304437 47.596513, -122.3304249 47.5965757, -122.3304208 47.5966561)",,,
