Offense ID,Offense Date,Latitude,Longitude,Offense DateTime,Offense Type,Crime Score,Hour
60961239111,11/20/2024 01:30:00 PM,47.600885,-122.334854,2024-11-20 13:30:00,Larceny,4.0,13
63983305102,05/13/2025 02:00:00 PM,47.60458687,-122.337674868294,2025-05-13 14:00:00,Larceny,4.0,14
62728530145,01/27/2025 03:34:00 PM,47.61190424,-122.335928553433,2025-01-27 15:34:00,Larceny,4.0,15
62859769266,02/20/2025 12:45:00 PM,47.60974973,-122.337792912935,2025-02-20 12:45:00,Weapon Law Violation,5.0,12
63491082013,04/06/2025 04:20:00 PM,47.60171757,-122.331124149334,2025-04-06 16:20:00,Assault,8.0,16
63307643727,03/21/2025 07:25:00 AM,47.61932364,-122.320863688088,2025-03-21 07:25:00,Assault,8.0,7
61387036181,11/24/2024 09:09:00 AM,47.60878866,-122.338449515478,2024-11-24 09:09:00,Motor Vehicle Theft,3.0,9
64243444103,04/24/2025 01:21:00 PM,47.61190424,-122.335928553433,2025-04-24 13:21:00,Larceny,4.0,13
64880436097,07/06/2025 04:00:00 PM,47.61222186,-122.344562703348,2025-07-06 16:00:00,Larceny,4.0,16
57577908940,07/11/2024 11:30:00 AM,47.61910958,-122.335871380653,2024-07-11 11:30:00,Burglary,4.0,11
64584228128,06/19/2025 04:40:00 PM,47.60878866,-122.338449521803,2025-06-19 16:40:00,Larceny,4.0,16
60182660549,10/20/2024 09:00:00 AM,47.62024125,-122.331700195977,2024-10-20 09:00:00,Burglary,4.0,9
63869978257,05/06/2025 11:40:00 AM,47.61555441,-122.338295099999,2025-05-06 11:40:00,Larceny,4.0,11
63539865816,04/04/2025 03:00:00 PM,47.62254385,-122.331714885328,2025-04-04 15:00:00,Fraud/Bribery,2.0,15
62939622541,02/22/2025 02:30:00 PM,47.61049853,-122.322363851096,2025-02-22 14:30:00,Property Offenses,4.0,14
59617353868,09/25/2024 12:41:00 PM,47.61666508,-122.334227061479,2024-09-25 12:41:00,Burglary,4.0,12
61573453604,12/12/2024 09:14:00 AM,47.61856415,-122.345841025233,2024-12-12 09:14:00,Larceny,4.0,9
63662015690,04/12/2025 05:00:00 PM,47.61704061,-122.325552288199,2025-04-12 17:00:00,Larceny,4.0,17
62867311942,02/18/2025 04:30:00 PM,47.60570247,-122.31810909371,2025-02-18 16:30:00,Fraud/Bribery,2.0,16
59871268876,10/04/2024 12:30:00 PM,47.62048227,-122.322215421196,2024-10-04 12:30:00,Narcotics,6.0,12
61010799858,11/27/2024 02:08:00 PM,47.61336283,-122.335727272843,2024-11-27 14:08:00,Assault,8.0,14
59153805547,09/13/2024 12:55:00 PM,47.60957018,-122.32458389147,2024-09-13 12:55:00,Larceny,4.0,12
58322995966,08/12/2024 02:19:00 PM,47.62262048,-122.33714694111,2024-08-12 14:19:00,Larceny,4.0,14
58633277280,07/28/2024 10:00:00 AM,47.62025165,-122.324014476757,2024-07-28 10:00:00,Burglary,4.0,10
63334308090,03/24/2025 03:30:00 PM,47.61730887,-122.353168640281,2025-03-24 15:30:00,Larceny,4.0,15
63683863929,04/24/2025 11:36:00 AM,47.61856415,-122.345841025233,2025-04-24 11:36:00,Larceny,4.0,11
63108606240,03/07/2025 09:11:00 AM,47.60794735,-122.319031216141,2025-03-07 09:11:00,Larceny,4.0,9
60818999224,11/13/2024 11:18:00 AM,47.609517,-122.338348,2024-11-13 11:18:00,Property Offenses,4.0,11
61446477942,10/27/2024 11:50:00 AM,47.59687305,-122.333266780757,2024-10-27 11:50:00,Larceny,4.0,11
58232226346,08/07/2024 01:10:00 PM,47.61132124,-122.337320425615,2024-08-07 13:10:00,Burglary,4.0,13
59755753925,09/30/2024 04:30:00 PM,47.61337517,-122.346512950756,2024-09-30 16:30:00,Narcotics,6.0,16
64692361190,05/23/2025 10:51:00 AM,47.61933325,-122.319529921886,2025-05-23 10:51:00,Larceny,4.0,10
64103465713,05/23/2025 06:36:00 AM,47.60578655,-122.324195215428,2025-05-23 06:36:00,Property Offenses,4.0,6
62037419657,12/28/2024 09:47:00 AM,47.61327122,-122.344353398663,2024-12-28 09:47:00,Narcotics,6.0,9
63877561828,05/07/2025 01:00:00 PM,47.6112125,-122.323016076719,2025-05-07 13:00:00,Larceny,4.0,13
58620338098,08/28/2024 12:10:00 PM,47.61382605,-122.334616769942,2024-08-28 12:10:00,Larceny,4.0,12
60970380445,11/22/2024 08:30:00 AM,47.59918657,-122.318430722495,2024-11-22 08:30:00,Larceny,4.0,8
62192052895,12/28/2024 03:00:00 PM,47.61498466,-122.343284199999,2024-12-28 15:00:00,Burglary,4.0,15
58914465362,09/09/2024 12:05:00 PM,47.59919689,-122.328967514499,2024-09-09 12:05:00,Larceny,4.0,12
59844629331,09/04/2024 11:45:00 AM,47.61074295,-122.338701506375,2024-09-04 11:45:00,Narcotics,6.0,11
64715848890,06/26/2025 10:45:00 AM,47.61823776,-122.329153403513,2025-06-26 10:45:00,Aggravated Assault,10.0,10
58858549816,09/07/2024 04:38:00 PM,47.60312653,-122.331735384227,2024-09-07 16:38:00,Aggravated Assault,10.0,16
61911477107,12/02/2024 03:39:00 PM,47.62387613,-122.33713695891,2024-12-02 15:39:00,Fraud/Bribery,2.0,15
62667898957,02/07/2025 11:15:00 AM,47.60901495,-122.329450045182,2025-02-07 11:15:00,Assault,8.0,11
63007655473,03/04/2025 12:50:00 PM,47.617225,-122.3312087,2025-03-04 12:50:00,Larceny,4.0,12
58644668066,08/03/2024 05:30:00 PM,47.61132124,-122.337320425615,2024-08-03 17:30:00,Larceny,4.0,17
59847464267,09/23/2024 03:02:00 PM,47.61621007,-122.33940406183,2024-09-23 15:02:00,Larceny,4.0,15
57849585038,07/21/2024 05:30:00 PM,47.62392112,-122.354103761511,2024-07-21 17:30:00,Burglary,4.0,17
63940484861,05/11/2025 07:56:00 AM,47.62393445,-122.358019952483,2025-05-11 07:56:00,Larceny,4.0,7
59756637827,09/19/2024 05:30:00 PM,47.60557242,-122.327068833135,2024-09-19 17:30:00,Larceny,4.0,17
63527277357,04/08/2025 01:00:00 PM,47.61210339,-122.333808099468,2025-04-08 13:00:00,Property Offenses,4.0,13
63650225509,04/18/2025 02:30:00 PM,47.6073407,-122.3418916081,2025-04-18 14:30:00,Larceny,4.0,14
58243605323,08/08/2024 01:57:00 PM,47.61907482,-122.32400803567,2024-08-08 13:57:00,Larceny,4.0,13
58462798886,08/19/2024 09:38:00 AM,47.6088019,-122.332317772864,2024-08-19 09:38:00,Assault,8.0,9
63586936761,04/15/2025 08:29:00 AM,47.6140898,-122.318793870374,2025-04-15 08:29:00,Narcotics,6.0,8
62524624267,01/20/2025 12:00:00 PM,47.61619035,-122.3492899,2025-01-20 12:00:00,Burglary,4.0,12
58633302836,07/19/2024 04:52:00 PM,47.61062346,-122.340128226582,2024-07-19 16:52:00,Larceny,4.0,16
57772065924,07/17/2024 02:00:00 PM,47.61079035,-122.34412327731,2024-07-17 14:00:00,Larceny,4.0,14
