OBJECTID,YEAR,RACE,TENURE,AGE,F0___30_,F30___50_,F50___80_,F80___120_,Above_120_,All_
829,2016,Black,All,All,0.630759778824493,0.397703856343833,0.0764774044032445,0.0794016110471807,0,0.26881600889383
830,2016,Black,All,Children,0.545278637770898,0.175059952038369,0,0.164073550212164,0,0.312048428041398
831,2016,Black,All,Seniors,0.585951940850277,0.249077490774908,0.143570536828964,0,0,0.166627106574887
832,2016,Black,Owners,All,0,0.239451476793249,0.254498714652956,0.114965312190287,0,0.0966071428571429
833,2016,Black,Owners,Children,0,0,0,1,0,0.155495978552279
834,2016,Black,Owners,Seniors,0,0,0.248917748917749,0,0,0.0581101566447701
835,2016,Black,Renters,All,0.641800375078141,0.458962841976317,0,0.0569461827284105,0,0.346650524616626
836,2016,Black,Renters,Children,0.545278637770898,0.215339233038348,0,0,0,0.338742857142857
837,2016,Black,Renters,Seniors,0.693654266958424,0.383522727272727,0,0,0,0.262757385854969
838,2016,Hispanic,All,All,0.302265372168285,0.240277777777778,0.168822328114364,0,0,0.0929555460872035
839,2016,Hispanic,All,Children,0,0,0.230917874396135,0,0,0.0588669950738916
840,2016,Hispanic,All,Seniors,0.198380566801619,0.571900826446281,0,0,0,0.238972370334464
841,2016,Hispanic,Owners,All,0.42443729903537,0.681102362204724,0.641655886157827,0,0,0.195268644747394
842,2016,Hispanic,Owners,Children,0,0,0.628947368421053,0,0,0.132263420033204
843,2016,Hispanic,Owners,Seniors,0,0.681102362204724,0,0,0,0.324882629107981
844,2016,Hispanic,Renters,All,0.271474878444084,0,0,0,0,0.0368374752584121
845,2016,Hispanic,Renters,Children,0,0,0,0,0,0
846,2016,Hispanic,Renters,Seniors,0.236334405144695,0,0,0,0,0.147294589178357
847,2016,Multi,All,All,0.81352380952381,0.80012853470437,0.24063710718898,0,0,0.400382257958215
848,2016,Multi,All,Children,1,0.808193668528864,0.4770206022187,0,0,0.420031298904538
849,2016,Multi,All,Seniors,0.71484375,0,0,0,0,0.28218966846569
850,2016,Multi,Owners,All,1,0.678048780487805,0.714964370546318,0,0,0.272809191259293
851,2016,Multi,Owners,Children,1,1,1,0,0,0.341246290801187
852,2016,Multi,Owners,Seniors,1,0,0,0,0,0.106060606060606
853,2016,Multi,Renters,All,0.781424425094887,0.818652849740933,0.135646687697161,0,0,0.453139556549283
854,2016,Multi,Renters,Children,1,0.741206030150754,0,0,0,0.50794701986755
855,2016,Multi,Renters,Seniors,0.674832962138085,0,0,0,0,0.431009957325747
856,2016,Native,All,All,1,1,0,0,0,0.233719892952721
857,2016,Native,All,Children,0,0,0,0,0,0
858,2016,Native,All,Seniors,0,1,0,0,0,0.604361370716511
859,2016,Native,Owners,All,0,0,0,0,0,0
860,2016,Native,Owners,Children,0,0,0,0,0,0
861,2016,Native,Owners,Seniors,0,0,0,0,0,0
862,2016,Native,Renters,All,1,1,0,0,0,0.347941567065073
863,2016,Native,Renters,Children,0,0,0,0,0,0
864,2016,Native,Renters,Seniors,0,1,0,0,0,1
865,2016,Other,All,All,1,0.534883720930233,0,0,0,0.477911646586345
866,2016,Other,All,Children,0,0,0,0,0,0
867,2016,Other,All,Seniors,1,0,0,0,0,1
868,2016,Other,Owners,All,0,0,0,0,0,0
869,2016,Other,Owners,Children,0,0,0,0,0,0
870,2016,Other,Owners,Seniors,0,0,0,0,0,0
871,2016,Other,Renters,All,1,0.534883720930233,0,0,0,0.640933572710952
872,2016,Other,Renters,Children,0,0,0,0,0,0
873,2016,Other,Renters,Seniors,1,0,0,0,0,1
874,2016,Pacific Islander,All,All,1,0,0,0,0,0.662125340599455
875,2016,Pacific Islander,All,Children,1,0,0,0,0,1
876,2016,Pacific Islander,All,Seniors,0,0,0,0,0,0
877,2016,Pacific Islander,Owners,All,0,0,0,0,0,0
878,2016,Pacific Islander,Owners,Children,0,0,0,0,0,0
879,2016,Pacific Islander,Owners,Seniors,0,0,0,0,0,0
880,2016,Pacific Islander,Renters,All,1,0,0,0,0,1
