OBJECTID,YEAR,AMI,RACE,TENURE,AGE,TOTAL,BURDEN30,BURDEN3050,BURDEN50,NODATA,NOBURDEN,PERCENT30,PERCENT3050,PERCENT50,PERCENT_NODATA,PERCENT_NOBURDEN,INCOME,COSTS
2156,2010,50 - 80%,Pacific Islander,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2157,2010,50 - 80%,Pacific Islander,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2158,2010,50 - 80%,Pacific Islander,Renters,All,400,126,126,0,0,274,0.315,0.315,0,0,0.685,41260,1042.45
2159,2010,50 - 80%,Pacific Islander,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2160,2010,50 - 80%,Pacific Islander,Renters,Children,274,0,0,0,0,274,0,0,0,0,1,40000,970
2161,2010,50 - 80%,Other,All,All,366,366,366,0,0,0,1,1,0,0,0,33364.7540983607,1117.844
2162,2010,50 - 80%,Other,All,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2163,2010,50 - 80%,Other,All,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2164,2010,50 - 80%,Other,Owners,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2165,2010,50 - 80%,Other,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2166,2010,50 - 80%,Other,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2167,2010,50 - 80%,Other,Renters,All,366,366,366,0,0,0,1,1,0,0,0,33364.7540983607,1117.844
2168,2010,50 - 80%,Other,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2169,2010,50 - 80%,Other,Renters,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2170,2010,50 - 80%,Multi,All,All,1748,879,260,619,0,869,0.502860411899314,0.148741418764302,0.354118993135011,0,0.497139588100686,46092.1281464531,1515.17
2171,2010,50 - 80%,Multi,All,Seniors,131,75,0,75,0,56,0.572519083969466,0,0.572519083969466,0,0.427480916030534,35924.427480916,3443.244
2172,2010,50 - 80%,Multi,All,Children,655,347,0,347,0,308,0.529770992366412,0,0.529770992366412,0,0.470229007633588,50832.213740458,1525.038
2173,2010,50 - 80%,Multi,Owners,All,754,698,79,619,0,56,0.925729442970822,0.104774535809019,0.820954907161804,0,0.0742705570291777,46775.3315649867,2528.008
2174,2010,50 - 80%,Multi,Owners,Seniors,131,75,0,75,0,56,0.572519083969466,0,0.572519083969466,0,0.427480916030534,35924.427480916,3443.244
