osmid,y,x,street_count,highway,ref,railway,geometry
9531694035,47.6115315,-122.3217789,3,,,,POINT (-122.3217789 47.6115315)
9531694037,47.6113088,-122.3223487,1,,,,POINT (-122.3223487 47.6113088)
9531694045,47.6163572,-122.3271424,1,,,,POINT (-122.3271424 47.6163572)
9531694046,47.61662,-122.3263673,1,,,,POINT (-122.3263673 47.61662)
9531694047,47.6166187,-122.3261888,3,,,,POINT (-122.3261888 47.6166187)
9531694048,47.6200412,-122.3248888,1,,,,POINT (-122.3248888 47.6200412)
9531694049,47.6200064,-122.3242418,1,,,,POINT (-122.3242418 47.6200064)
9531694050,47.6200412,-122.3246537,3,,,,POINT (-122.3246537 47.6200412)
9531694054,47.620702,-122.3382649,1,,,,POINT (-122.3382649 47.620702)
9531694055,47.6207033,-122.3378194,3,,,,POINT (-122.3378194 47.6207033)
9537815604,47.6100614,-122.3176732,1,,,,POINT (-122.3176732 47.6100614)
9544320477,47.6214116,-122.322525,1,,,,POINT (-122.322525 47.6214116)
9544320478,47.6215586,-122.3423778,1,,,,POINT (-122.3423778 47.6215586)
9544320480,47.6215543,-122.3420337,1,,,,POINT (-122.3420337 47.6215543)
9554600248,47.6020047,-122.3308657,3,,,,POINT (-122.3308657 47.6020047)
9559731076,47.6140012,-122.3193448,3,,,,POINT (-122.3193448 47.6140012)
9559731082,47.6130264,-122.3193146,3,,,,POINT (-122.3193146 47.6130264)
9559731088,47.6139958,-122.3182462,3,,,,POINT (-122.3182462 47.6139958)
9563840803,47.612865,-122.3195627,3,,,,POINT (-122.3195627 47.612865)
9563968819,47.6130232,-122.318019,3,,,,POINT (-122.318019 47.6130232)
9563968822,47.6139952,-122.3180457,3,,,,POINT (-122.3180457 47.6139952)
9563968824,47.6137726,-122.3180415,3,,,,POINT (-122.3180415 47.6137726)
9574802043,47.6201984,-122.3207294,1,,,,POINT (-122.3207294 47.6201984)
9576863265,47.6121117,-122.3187814,3,,,,POINT (-122.3187814 47.6121117)
9576863266,47.6121132,-122.3192483,3,,,,POINT (-122.3192483 47.6121132)
9576863267,47.6121266,-122.3192705,3,,,,POINT (-122.3192705 47.6121266)
9576863268,47.6119275,-122.3192462,3,,,,POINT (-122.3192462 47.6119275)
9576863273,47.6118283,-122.319469,3,,,,POINT (-122.319469 47.6118283)
9576863274,47.6121101,-122.3194925,4,,,,POINT (-122.3194925 47.6121101)
9576863277,47.6121087,-122.3198212,4,,,,POINT (-122.3198212 47.6121087)
9576863279,47.6118081,-122.3194799,3,,,,POINT (-122.3194799 47.6118081)
9576863280,47.6116775,-122.3197911,3,,,,POINT (-122.3197911 47.6116775)
9580613623,47.6211643,-122.3562209,1,,,,POINT (-122.3562209 47.6211643)
9580613625,47.62094,-122.3563356,1,,,,POINT (-122.3563356 47.62094)
9580613626,47.6240474,-122.3548979,1,,,,POINT (-122.3548979 47.6240474)
9631578868,47.5975167,-122.3303895,4,,,,POINT (-122.3303895 47.5975167)
9631578871,47.597812,-122.3303859,3,,,,POINT (-122.3303859 47.597812)
9631578872,47.5978113,-122.3304766,1,,,,POINT (-122.3304766 47.5978113)
9631578875,47.5975167,-122.3303157,3,,,,POINT (-122.3303157 47.5975167)
9631581229,47.5967413,-122.3305687,3,,,,POINT (-122.3305687 47.5967413)
9631615537,47.5967125,-122.3282519,4,,,,POINT (-122.3282519 47.5967125)
9633024933,47.6106051,-122.3455267,3,,,,POINT (-122.3455267 47.6106051)
