,OBJECTID,SUBTYPECD,HEIGHT,ASSET_ID,HasStreetlight,Field,geometry
49549,49550,1,0,1352428,Yes,,POINT (-122.340557981048 47.6092459238956)
49550,49551,1,0,1352446,Yes,,POINT (-122.340565906485 47.6095726139854)
49551,49552,1,0,1352433,Yes,,POINT (-122.340348624128 47.6093613707418)
49552,49553,1,0,1352370,Yes,,POINT (-122.339813359742 47.6100972414551)
49553,49554,1,0,1352453,Yes,,POINT (-122.339710897773 47.6104095467017)
49554,49555,1,0,1352194,Yes,,POINT (-122.344787505435 47.6092242048215)
49563,49564,1,0,1352209,Yes,,POINT (-122.341436641609 47.6081501727481)
49564,49565,1,0,1352203,Yes,,POINT (-122.341642179733 47.6080654900615)
49565,49566,1,0,1352207,Yes,,POINT (-122.341213254279 47.6082406290186)
49567,49568,1,0,1352216,Yes,,POINT (-122.341334530581 47.6081869673055)
49568,49569,1,0,1352345,Yes,,POINT (-122.341584585555 47.6087341016992)
49985,49986,1,0,1367580,Yes,,POINT (-122.335093425318 47.6060802953495)
49988,49989,1,0,1367584,Yes,,POINT (-122.335502696516 47.6059142206486)
50002,50003,1,0,1367563,Yes,,POINT (-122.335519277682 47.6057831687173)
50003,50004,1,0,1367791,Yes,,POINT (-122.336821954621 47.6068195111344)
50004,50005,1,0,1367799,Yes,,POINT (-122.336702691138 47.6066856639808)
50005,50006,1,0,1367957,Yes,,POINT (-122.338025469043 47.606795407225)
50006,50007,1,0,1367960,Yes,,POINT (-122.337715242533 47.60616617337)
50007,50008,1,0,1367956,Yes,,POINT (-122.337979586761 47.6064401263873)
50008,50009,1,0,1367940,Yes,,POINT (-122.339545047118 47.6050979382469)
50009,50010,1,0,1352291,Yes,,POINT (-122.340576584475 47.6107683889718)
50010,50011,1,0,1352160,Yes,,POINT (-122.340192596424 47.6110727496126)
50011,50012,1,0,1352290,Yes,,POINT (-122.339911004661 47.6112868166299)
50012,50013,1,0,1353890,Yes,,POINT (-122.344148640923 47.6118753179403)
50013,50014,1,0,1353887,Yes,,POINT (-122.344788119834 47.6122565362098)
50014,50015,1,0,1374113,Yes,,POINT (-122.344903003102 47.614873291644)
50015,50016,1,0,1353800,Yes,,POINT (-122.344750490363 47.6145665305434)
50016,50017,1,0,1374120,Yes,,POINT (-122.344403997534 47.6151054120079)
50017,50018,1,0,1353636,Yes,,POINT (-122.339903574655 47.6142681280625)
50018,50019,1,0,1353911,Yes,,POINT (-122.337921348703 47.6130943675798)
50019,50020,1,0,1353802,Yes,,POINT (-122.336271296906 47.6140902288251)
50020,50021,1,0,1367929,Yes,,POINT (-122.339305403944 47.604859371179)
50078,50079,1,35,1406045,Yes,,POINT (-122.356623764377 47.6226215415334)
50079,50080,1,50,1406007,Yes,,POINT (-122.356822860386 47.6225260798805)
50081,50082,1,40,1406032,Yes,,POINT (-122.35662593281 47.6220052657567)
50082,50083,1,45,1406048,Yes,,POINT (-122.356634208873 47.6216977963577)
50084,50085,1,47,1406093,Yes,,POINT (-122.356117707353 47.6213582307641)
50085,50086,1,40,1406030,Yes,,POINT (-122.356636896753 47.6212432350792)
50086,50087,1,40,1406037,Yes,,POINT (-122.356644282401 47.6210262863758)
50089,50090,1,40,1406046,Yes,,POINT (-122.356644594286 47.6206928254454)
50091,50092,1,40,1406026,Yes,,POINT (-122.356645814603 47.6204214231632)
50092,50093,1,50,1406058,Yes,,POINT (-122.356120246137 47.620359501099)
50093,50094,1,55,1406100,Yes,,POINT (-122.356149454531 47.6198342355878)
50094,50095,1,50,1406097,Yes,,POINT (-122.356056062574 47.6196811091709)
50095,50096,1,45,1406094,Yes,,POINT (-122.356067793418 47.6193446985762)
50096,50097,1,30,1406029,Yes,,POINT (-122.356657726446 47.6189833297009)
50097,50098,1,35,1406099,Yes,,POINT (-122.35665183956 47.6187042406326)
50098,50099,1,45,1406096,Yes,,POINT (-122.356151779792 47.6186760166777)
50099,50100,1,35,1406098,Yes,,POINT (-122.356600864831 47.6185098469442)
50100,50101,1,35,1406028,Yes,,POINT (-122.35653147404 47.6180280870457)
50104,50105,1,50,1406041,Yes,,POINT (-122.356042050853 47.6241496522105)
50106,50107,1,55,1321697,Yes,,POINT (-122.356013288163 47.6221704082029)
50110,50111,1,35,1406233,Yes,,POINT (-122.356813469902 47.6241063163618)
50111,50112,1,35,1406024,Yes,,POINT (-122.356604512533 47.6237633211424)
50163,50164,1,0,1367697,Yes,,POINT (-122.337119378304 47.6054842986011)
50164,50165,1,0,1367582,Yes,,POINT (-122.33685943084 47.6055268515667)
50165,50166,1,0,1367677,Yes,,POINT (-122.337339325836 47.6060426321794)
50166,50167,1,0,1367688,Yes,,POINT (-122.336455931437 47.6056629187868)
50167,50168,1,0,1367694,Yes,,POINT (-122.336030099058 47.605842987365)
50168,50169,1,0,1367684,Yes,,POINT (-122.336166772892 47.6061097337479)
50169,50170,1,0,1367696,Yes,,POINT (-122.336279553916 47.6062793604204)
50170,50171,1,0,1367562,Yes,,POINT (-122.335393166586 47.6056471150067)
50171,50172,1,0,1367557,Yes,,POINT (-122.335266792993 47.6055018833074)
50174,50175,1,0,1353611,Yes,,POINT (-122.335494328906 47.6149879432163)
50175,50176,1,0,1353621,Yes,,POINT (-122.335561464896 47.6151959243383)
50176,50177,1,0,1352162,Yes,,POINT (-122.335107201352 47.6149082331588)
50177,50178,1,0,1353932,Yes,,POINT (-122.338540215357 47.6158824187625)
50179,50180,1,0,1353745,Yes,,POINT (-122.341207686578 47.6112993634379)
50180,50181,1,0,1353749,Yes,,POINT (-122.340913987701 47.6111264547303)
50181,50182,1,0,1353743,Yes,,POINT (-122.34064349604 47.6109655605447)
50184,50185,1,33,1321567,Yes,,POINT (-122.352940001226 47.6196229760642)
50185,50186,1,35,1321553,Yes,,POINT (-122.352946229886 47.6191468348141)
50186,50187,1,12,1413111,Yes,,POINT (-122.347383005232 47.6231285906819)
50187,50188,1,12,1360803,Yes,,POINT (-122.347381846061 47.6230370917038)
50188,50189,1,12,1360801,Yes,,POINT (-122.347384783541 47.6229313027896)
50189,50190,1,12,1360808,Yes,,POINT (-122.347383298976 47.6228286234984)
50190,50191,1,12,1360811,Yes,,POINT (-122.347382617272 47.6226501792128)
50191,50192,1,12,1360806,Yes,,POINT (-122.347382814466 47.6225535786427)
50192,50193,1,12,1360802,Yes,,POINT (-122.347382099037 47.6224773259093)
50193,50194,1,12,1360805,Yes,,POINT (-122.347386406615 47.6223669429883)
50195,50196,1,999,1406055,Yes,,POINT (-122.355697876674 47.6181065239401)
50196,50197,1,999,1360856,Yes,,POINT (-122.346035610035 47.6179042895967)
50197,50198,1,999,1360867,Yes,,POINT (-122.346265564226 47.6186970209443)
50199,50200,1,14,2857862,Yes,,POINT (-122.355552737793 47.6218503709692)
50200,50201,1,14,2857864,Yes,,POINT (-122.35555835106 47.6217379391289)
50201,50202,1,14,2857866,Yes,,POINT (-122.355560970592 47.6215232216175)
50352,50353,1,55,1406217,Yes,,POINT (-122.358128079895 47.6213710091317)
50353,50354,1,55,1406224,Yes,,POINT (-122.358133943187 47.6210381290786)
50354,50355,1,55,1406208,Yes,,POINT (-122.358136950944 47.620693860604)
50355,50356,1,55,1406204,Yes,,POINT (-122.358135479824 47.6203599574968)
50382,50383,1,0,1367884,Yes,,POINT (-122.340588703382 47.6062483446458)
50383,50384,1,0,1352341,Yes,,POINT (-122.340954706603 47.6066373729496)
50384,50385,1,0,1353735,Yes,,POINT (-122.341330918799 47.6104230190448)
50385,50386,1,0,1352064,Yes,,POINT (-122.341367776988 47.6101222803042)
50386,50387,1,0,1352071,Yes,,POINT (-122.341243478155 47.6099889058935)
50387,50388,1,0,1352065,Yes,,POINT (-122.341132100341 47.6098639331212)
50388,50389,1,0,1352053,Yes,,POINT (-122.340904463874 47.6099450661649)
50389,50390,1,0,1352206,Yes,,POINT (-122.339316031709 47.6078905224559)
50390,50391,1,0,1367686,Yes,,POINT (-122.337406583781 47.6058246534025)
50391,50392,1,0,1367675,Yes,,POINT (-122.336659134681 47.6053281017005)
50392,50393,1,0,1367560,Yes,,POINT (-122.336890827881 47.6052307395489)
50393,50394,1,0,1367552,Yes,,POINT (-122.336769596948 47.6050930335977)
50394,50395,1,0,1367556,Yes,,POINT (-122.336481796583 47.6047839292717)
50395,50396,1,0,1367871,Yes,,POINT (-122.335421761039 47.6039502539738)
50396,50397,1,0,1367698,Yes,,POINT (-122.33625632809 47.6065547943254)
50397,50398,1,0,1367782,Yes,,POINT (-122.336391060557 47.6067096711082)
50398,50399,1,0,1367790,Yes,,POINT (-122.336621185851 47.6069629437994)
50399,50400,1,0,1367792,Yes,,POINT (-122.336746764765 47.6070877379796)
50400,50401,1,0,1367945,Yes,,POINT (-122.334550716392 47.6077091701848)
50401,50402,1,0,1367972,Yes,,POINT (-122.334572194719 47.6082339699547)
50402,50403,1,0,1367952,Yes,,POINT (-122.334723113793 47.6084120075015)
50489,50490,1,50,1406250,Yes,,POINT (-122.357907252863 47.6198463079461)
50490,50491,1,60,1406244,Yes,,POINT (-122.358154131203 47.6195509953281)
50492,50493,1,60,1406232,Yes,,POINT (-122.35815707524 47.619284242849)
50493,50494,1,35,1406230,Yes,,POINT (-122.35829605027 47.6192681989639)
50494,50495,1,35,1406067,Yes,,POINT (-122.357596996009 47.6188610236423)
50495,50496,1,60,1406063,Yes,,POINT (-122.35776595734 47.6187451429604)
50496,50497,1,50,1406108,Yes,,POINT (-122.358204615456 47.618505858193)
50497,50498,1,75,1406113,Yes,,POINT (-122.357769174154 47.6181918585809)
50501,50502,1,29,1406361,Yes,,POINT (-122.359173018049 47.623229909425)
50502,50503,1,35,1406226,Yes,,POINT (-122.357413647412 47.6232211731265)
50503,50504,1,35,1406242,Yes,,POINT (-122.357411103429 47.6225428287525)
50504,50505,1,55,1406015,Yes,,POINT (-122.357422685645 47.6220484580031)
50505,50506,1,35,1406031,Yes,,POINT (-122.356580372202 47.6221774118293)
50506,50507,1,35,1406115,Yes,,POINT (-122.357434717666 47.6208849179249)
50508,50509,1,50,1406104,Yes,,POINT (-122.357355621245 47.6198421556502)
50510,50511,1,0,1367772,Yes,,POINT (-122.334793376298 47.6043857237579)
50511,50512,1,0,1367764,Yes,,POINT (-122.335031734116 47.6042953557156)
50512,50513,1,0,1367756,Yes,,POINT (-122.335605423966 47.6041821976152)
50513,50514,1,0,1367673,Yes,,POINT (-122.335738116817 47.6043112784841)
50514,50515,1,0,1367670,Yes,,POINT (-122.336022389648 47.6046357540952)
50515,50516,1,0,1367553,Yes,,POINT (-122.336491561538 47.604663986308)
50516,50517,1,0,1367568,Yes,,POINT (-122.336960566994 47.604461219062)
50517,50518,1,0,1367652,Yes,,POINT (-122.337892360827 47.6039293323019)
50518,50519,1,0,1367657,Yes,,POINT (-122.337315217683 47.6033355908258)
50519,50520,1,0,1367769,Yes,,POINT (-122.33555658127 47.6037834579732)
50520,50521,1,0,1367870,Yes,,POINT (-122.335440852745 47.6036541531085)
50522,50523,1,0,1367864,Yes,,POINT (-122.335103402473 47.6036035207686)
50523,50524,1,0,1367865,Yes,,POINT (-122.335209217721 47.6037421378141)
50524,50525,1,0,1367768,Yes,,POINT (-122.335322398924 47.6040183765307)
50525,50526,1,0,1367873,Yes,,POINT (-122.336131443299 47.6038286588344)
50526,50527,1,0,1367671,Yes,,POINT (-122.336114995965 47.6044040460683)
50527,50528,1,0,1367663,Yes,,POINT (-122.336247108548 47.6045432689691)
50528,50529,1,0,1367876,Yes,,POINT (-122.340379380033 47.6060122713585)
50529,50530,1,0,1367953,Yes,,POINT (-122.340149877192 47.6057662811442)
50530,50531,1,0,1367879,Yes,,POINT (-122.340001934717 47.6052877866475)
50531,50532,1,0,1367959,Yes,,POINT (-122.339776828965 47.6053525202791)
50532,50533,1,0,1367964,Yes,,POINT (-122.339965046223 47.605559315089)
50535,50536,1,0,1367664,Yes,,POINT (-122.336893526242 47.6043369901423)
50536,50537,1,0,1367668,Yes,,POINT (-122.33596492519 47.604226784489)
50537,50538,1,0,1367758,Yes,,POINT (-122.33581163396 47.6039633640695)
50538,50539,1,0,1367665,Yes,,POINT (-122.336561939787 47.6036510425946)
50539,50540,1,0,1352243,Yes,,POINT (-122.337917336256 47.609606440046)
50540,50541,1,0,1352075,Yes,,POINT (-122.34112317377 47.6097930858461)
50541,50542,1,0,1352060,Yes,,POINT (-122.340013799038 47.610263024009)
50542,50543,1,0,1367939,Yes,,POINT (-122.334640036779 47.6072512909296)
50543,50544,1,0,1352392,Yes,,POINT (-122.341893724971 47.6097525321634)
50544,50545,1,0,1352158,Yes,,POINT (-122.342025558527 47.6098474925538)
50545,50546,1,0,1352400,Yes,,POINT (-122.341499980394 47.6100919575228)
50546,50547,1,0,1352395,Yes,,POINT (-122.341080384482 47.6103655447471)
50547,50548,1,0,1353748,Yes,,POINT (-122.341127996873 47.6105486173647)
50548,50549,1,0,1367627,Yes,,POINT (-122.336635234714 47.608779103775)
50549,50550,1,0,1367733,Yes,,POINT (-122.336327236588 47.6089110733335)
50550,50551,1,0,1367730,Yes,,POINT (-122.335480892541 47.6092519419922)
50551,50552,1,0,1367729,Yes,,POINT (-122.335079071705 47.6094248333716)
50552,50553,1,0,1367732,Yes,,POINT (-122.334621161177 47.6095141629063)
50553,50554,1,0,1367727,Yes,,POINT (-122.334773848356 47.6095503434435)
50554,50555,1,0,1367971,Yes,,POINT (-122.335062621856 47.6080665103188)
50555,50556,1,0,1367974,Yes,,POINT (-122.336131562265 47.6076225536917)
50624,50625,1,0,1367777,Yes,,POINT (-122.337095274917 47.6071165855679)
50625,50626,1,0,1367800,Yes,,POINT (-122.336955122053 47.60696465209)
50626,50627,1,0,1367794,Yes,,POINT (-122.335961178045 47.6075699735847)
50627,50628,1,0,1367796,Yes,,POINT (-122.335827945596 47.6074225373463)
50628,50629,1,0,1367783,Yes,,POINT (-122.335575981934 47.6071596084375)
50629,50630,1,0,1367797,Yes,,POINT (-122.335578926714 47.6070264410466)
50630,50631,1,0,1367785,Yes,,POINT (-122.335853752997 47.6069057511275)
50631,50632,1,0,1367965,Yes,,POINT (-122.335703098471 47.607800617635)
50632,50633,1,0,1367788,Yes,,POINT (-122.33561079378 47.6075424661932)
50633,50634,1,0,1367941,Yes,,POINT (-122.335344398496 47.6072498875238)
50642,50643,1,35,1406018,Yes,,POINT (-122.35683668609 47.6222375877618)
50653,50654,1,30,1406221,Yes,,POINT (-122.357930534233 47.6241491078403)
50654,50655,1,40,1406219,Yes,,POINT (-122.357939691997 47.6229364931515)
50656,50657,1,50,1321914,Yes,,POINT (-122.358758707428 47.6233509276068)
50657,50658,1,40,1406228,Yes,,POINT (-122.35790288038 47.6196971014357)
50658,50659,1,40,1406231,Yes,,POINT (-122.357927938812 47.6208311775382)
50660,50661,1,35,1406056,Yes,,POINT (-122.355919144347 47.6185044133722)
50661,50662,1,50,1321676,Yes,,POINT (-122.356114225606 47.6215563525593)
50662,50663,1,40,1406049,Yes,,POINT (-122.356442269236 47.6233566015484)
50664,50665,1,50,1406207,Yes,,POINT (-122.358231999758 47.6198505862404)
50669,50670,1,12,1321920,Yes,,POINT (-122.358723517695 47.6200253516029)
50670,50671,1,12,1321924,Yes,,POINT (-122.358720551532 47.620091642021)
50674,50675,1,40,1406222,Yes,,POINT (-122.357940901359 47.6224529018233)
50767,50768,1,0,1367946,Yes,,POINT (-122.335159931693 47.6072087113999)
50768,50769,1,0,1367943,Yes,,POINT (-122.334874592041 47.6073180616922)
50769,50770,1,0,1367928,Yes,,POINT (-122.334651661455 47.6078259723916)
50770,50771,1,0,1367950,Yes,,POINT (-122.335064750867 47.6070860210141)
50771,50772,1,0,1367577,Yes,,POINT (-122.335099157678 47.6069845731879)
50772,50773,1,0,1367949,Yes,,POINT (-122.335493857784 47.6069013218365)
50773,50774,1,0,1367594,Yes,,POINT (-122.334808291118 47.6066670678622)
50774,50775,1,0,1367579,Yes,,POINT (-122.33492362752 47.606782606623)
50775,50776,1,0,1367793,Yes,,POINT (-122.336286578501 47.6067324769549)
50776,50777,1,0,1367588,Yes,,POINT (-122.335312717162 47.6068578070654)
50777,50778,1,0,1367576,Yes,,POINT (-122.335179687784 47.6067172537596)
50778,50779,1,0,1367695,Yes,,POINT (-122.33493072677 47.6064405110536)
50779,50780,1,0,1367935,Yes,,POINT (-122.336151014975 47.6066217971973)
50780,50781,1,0,1367693,Yes,,POINT (-122.336051792161 47.6063591463173)
50781,50782,1,0,1367699,Yes,,POINT (-122.335919829248 47.6061740572222)
